t,B8,AI4,PI4,B6B9B3,AI3,TI3,B6B9B3_B38,AI3_2,PI3,B31B32,AI2,TI2,B7,A_hinge,T_hinge,B64,B44B48
0.65,0,0.05391957307609,0.04249043133282,0,0.0205699039528894,0.0394785580983668,1,0.371969254480813,0.0764353243923133,1,0.786167206747644,0.446948527098335,0,0.0205699039528894,0.0189086541454773,0,1
0.7,0,0.0503586768844334,0.043245221940121,0,0.0192114493422563,0.0382298138911201,1,0.393415263507711,0.086527224156222,1,0.812660949364699,0.488977498673895,0,0.0192114493422563,0.0190183645488638,0,1
0.75,0,0.0470329454198763,0.0437150007824901,0,0.0179427082729881,0.0369738243120109,1,0.414128933701736,0.0970068443167574,1,0.835872134675258,0.529081665586598,0,0.0179427082729881,0.0190311160390228,0,1
0.8,0,0.0439268481963007,0.0439341207745332,0,0.0167577559836381,0.0357169926132381,1,0.434135272986994,0.107835937064369,1,0.856207469373283,0.567092803175808,0,0.0167577559836381,0.0189592366295999,0,1
0.85,0,0.041025880374598,0.0439336404870484,0,0.0156510589892343,0.0344649078940993,1,0.453458435316398,0.118978414647823,1,0.874023269460519,0.602913920398047,0,0.0156510589892343,0.018813848904865,0,1
0.9,0,0.0383164950280356,0.0437416094430328,0,0.0146174492410357,0.0332224247086113,1,0.472121749833094,0.130400246451049,1,0.889631703620157,0.636504190654965,0,0.0146174492410357,0.0186049754675756,0,1
0.95,0,0.0357860398808775,0.0433833300992331,0,0.013652099992801,0.0319937357092592,1,0.490147749036084,0.142069360580419,1,0.903306263040608,0.667866523231711,0,0.013652099992801,0.0183416357164582,0,1
1,0,0.0334226982248437,0.0428815983483664,0,0.0127505032608707,0.0307824378994765,1,0.507558195984055,0.153955549774416,1,0.915286553531693,0.697037352333502,0,0.0127505032608707,0.0180319346386058,0,1
1.05,0,0.0312154337374973,0.0422569242364334,0,0.0119084487728045,0.029591593022196,0,0.524374110570238,0.166030381455272,1,0.925782493900793,0.724078284993904,0,0.0119084487728045,0.0176831442493916,0,1
1.1,0,0.0291539389448753,0.0415277344594226,0,0.0111220043062695,0.0284237825700377,0,0.506467770810607,0.178267111749389,1,0.934977994152953,0.749069303977831,0,0.0111220043062695,0.0173017782637682,0,1
1.15,0,0.0272285870876918,0.0407105580833799,0,0.0103874973263665,0.0272811578641374,0,0.489172897172442,0.189474515761182,1,0.943034177964401,0.772103268566979,0,0.0103874973263665,0.016893660537771,0,1
1.2,0,0.0254303871663399,0.0398201968205631,0,0.00970149783564158,0.0261654856130386,0,0.472468609295897,0.199708623309179,1,0.950092205893723,0.793281495956684,0,0.00970149783564158,0.0164639877773971,0,1
1.25,0,0.0237509419547619,0.0388698810915406,0,0.0090608023567002,0.0250781893302346,0,0.456334739844157,0.209022837881289,1,0.956275748799026,0.812710239908818,0,0.0090608023567002,0.0160173869735344,0,1
1.3,0,0.0221824087871195,0.0378714130080106,0,0.00846241897262193,0.0240203869586569,0,0.440751810155111,0.217468050667122,1,0.961693154800335,0.830497912152031,0,0.00846241897262193,0.0155579679860349,0,1
1.35,0,0.0207174629341478,0.0368352973232254,0,0.00790355335532027,0.0229929250224652,0,0.42570100672447,0.225092749864898,1,0.96643934775678,0.846752916533908,0,0.00790355335532027,0.015089371667145,0,1
1.4,0,0.0193492633981669,0.0357708613156772,0,0.00738159571660161,0.021996409600724,0,0.411164158491944,0.231943125452679,1,0.970597490523699,0.861581986740321,0,0.00738159571660161,0.0146148138841224,0,1
1.45,0,0.0180714209670212,0.0346863644966305,0,0.00689410862098789,0.0210312343937857,0,0.397123714903047,0.238063169606238,1,0.974240442133283,0.87508893604672,0,0.00689410862098789,0.0141371257727978,0,1
1.5,0,0.0168779683777643,0.0335890989627272,0,0.00643881560339113,0.020097606131294,0,0.38356272472005,0.243494772938713,1,0.977432034431498,0.887373742518151,0,0.00643881560339113,0.0136587905279029,0,1
1.55,0,0.0157633324507612,0.0324854811508003,0,0.0060135905384868,0.019195567550521,0,0.370464815556499,0.248277816730301,1,0.980228190540523,0.898531905726859,0,0.0060135905384868,0.0131819770120342,0,1
1.6,0,0.0147223080640784,0.0313811356928299,0,0.00561644771214319,0.0183250181551388,0,0.357814174110586,0.252450261309634,1,0.982677904744436,0.908654021748925,0,0.00561644771214319,0.0127085704429956,0,1
1.65,0,0.0137500338466288,0.0302809720142901,0,0.00524553254854229,0.017485732947372,0,0.345595527073515,0.256048230742118,1,0.984824100967704,0.917825532225728,0,0.00524553254854229,0.0122402003988297,0,1
1.7,0,0.0128419694765621,0.0291892542686272,0,0.00489911294968984,0.0166773793106732,0,0.333794122689806,0.259106093974387,1,0.986704384888747,0.926126610881452,1,0.00489911294968984,0.0117782663609833,0,1
1.75,0,0.0119938744788898,0.0281096651539686,0,0.00457557120687174,0.015899532205505,0,0.322395712947282,0.261656542578154,1,0.988351702867132,0.933632157287373,1,0.0706164537381831,0.0113239609986332,0,1
1.8,0,0.0112017884233341,0.0270453641150965,0,0.00427339644628508,0.0151516878274051,0,0.311386536375226,0.263730665231091,1,0.98979491923012,0.940411873039398,1,0.131993763343393,0.0152396895466345,0,1
1.85,0,0.0104620124299281,0.0259990403939608,0,0.00399117757356624,0.0144332758641632,0,0.300753301429958,0.265358019066925,0,0.991059322033783,0.94653040002267,1,0.189317661254878,0.0229502316192983,0,1
1.9,0,0.00977109189600209,0.0249729613553025,0,0.00372759668426875,0.0137436704775735,0,0.290483170447749,0.26656669802171,0,0.868267723061365,0.952047504208767,1,0.242855838358153,0.0339372834968978,1,1
1.95,0,0.00912580036389557,0.0239690164800845,0,0.00348142290951885,0.0130822001247649,0,0.280563744145723,0.267383398298249,0,0.760689922539741,0.941667244359601,1,0.29285830699641,0.0477344492371013,1,0
2,1,0.00852312445405934,0.0229887573881684,0,0.0032515066681095,0.0124481563244835,0,0.270983046652011,0.267833481065755,0,0.666440940834813,0.919244273070251,1,0.339558568477053,0.0639226451330057,1,0
2.05,1,0.0740011323245004,0.0220334342228258,0,0.0030367742981911,0.0118408014648453,0,0.261729511047109,0.267941032507266,0,0.583869346050903,0.887922106272967,1,0.383174703475071,0.0821258847679794,1,0
2.1,1,0.135154914768785,0.0254654268685811,0,0.00283622304349016,0.0112593757409298,0,0.252791965398955,0.267728921322813,0,0.511528317619381,0.850250169013926,1,0.423910390425215,0.102007414440404,1,0
2.15,1,0.192270047450322,0.0327094174539182,0,0.00264891637064243,0.0107031033030949,0,0.244159619274895,0.267218853792102,0,0.448150295089652,0.808282754132765,1,0.461955856658652,0.123266171063897,1,0
2.2,1,0.245613246363677,0.0432469422761327,0,0.00247397959577356,0.0101711976900036,0,0.235822050714227,0.266431426496324,0,0.392624767918289,0.763662579028589,1,0.497488766725718,0.145633536804827,1,0
2.25,1,0.295433613343751,0.0566113915926739,0,0.00231059579990422,0.00966286661402465,0,0.227769193645617,0.265386176794754,0,0.343978817088699,0.717691237967022,1,0.53067505205305,0.16887036671206,1,0
2.3,1,0.341963799320426,0.0723834218852035,0,0.0021580020141054,0.00917731616085093,0,0.219991325734174,0.264101631148006,0,0.301360067611337,0.671388514512151,1,0.561669685809428,0.192764267435942,1,0
2.35,1,0.385421090750857,0.0901867479241496,0,0.00201548565658954,0.00871375445983534,0,0.212479056643536,0.262595351376142,0,0.264021753197933,0.625542233013087,1,0.5906174065988,0.21712710683591,1,0
2.4,1,0.426008424302801,0.109684284477977,0,0.00188238120509916,0.00827139487663704,0,0.205223316698771,0.260883978936339,0,0.231309631412785,0.580750083047047,1,0.617653394359972,0.241792735849135,1,0
2.45,1,0.463915334527382,0.130574609837966,0,0.00175806708905406,0.00784945877526406,0,0.198215345936427,0.258983277301417,0,0.202650520028201,0.537454640637241,1,0.642903901629291,0.266614905445991,1,0
2.5,1,0.499318838946696,0.152588725480082,0,0.00164196278694368,0.00744717789246286,0,0.191446683528493,0.2569081725173,0,0.177542253717976,0.495972630026844,1,0.666486843114181,0.291465362840757,1,0
2.55,1,0.532384264689458,0.175487088173599,0,0.00153352611541035,0.00706379636361027,0,0.184909157567519,0.254672792014379,0,0.15554488510995,0.456519315579314,1,0.688512346330724,0.316232112366213,1,0
2.6,1,0.563266020534894,0.19905689268364,0,0.00143225069736383,0.0066985724357825,0,0.178594875200546,0.252290501744721,0,0.136272976022372,0.419228781354475,1,0.70908326587665,0.340817827566192,1,0
2.65,1,0.592108317970181,0.223109584912896,0,0.00133766359730384,0.0063507799004835,0,0.172496213099947,0.249773941714204,0,0.119388843811014,0.384170742947695,1,0.728295663741283,0.365138402117995,1,0
2.7,1,0.619045844628611,0.247478586896934,0,0.00124932311280788,0.00601970927558941,0,0.166605808259673,0.247135059975907,0,0.104596644489445,0.351364439580077,1,0.746239257895393,0.389121628173251,1,0
2.75,1,0.644204393253308,0.272017216517274,0,0.00116681671187129,0.00570466876338416,0,0.160916549105781,0.244385145148397,0,0.0916371889468123,0.320790071870286,1,0.762997841255782,0.412705991607591,1,0
2.8,1,0.667701449123623,0.296596786135758,1,0.00108975910646702,0.00540498500910573,1,0.155421566910527,0.241534857520022,0,0.0802834014328363,0.292398180206758,1,0.778649672981076,0.435839574501883,1,0
2.85,1,0.689646738687375,0.321104865590962,1,0.0670586729846407,0.00512000368217349,1,0.184262251589088,0.238594258797868,0,0.0703363407335308,0.266117298455017,1,0.793267843926,0.458479055946095,1,0
2.9,1,0.710142741960932,0.345443696139992,1,0.128670941570668,0.00921048806572347,1,0.212118083872488,0.236738928106875,0,0.0616217143206381,0.241860166401974,1,0.806920617960728,0.480588802965876,1,0
2.95,1,0.729285171089938,0.369528742984334,1,0.186214281564517,0.0170997618427807,1,0.239022694524044,0.235898174924857,0,0.0539868243956586,0.219528740587862,1,0.819671750749202,0.502140044026181,1,0
3,1,0.747163417305471,0.39328737499274,1,0.239957408601374,0.028268233974063,1,0.265008565882953,0.236004871095398,0,0.0472978923170195,0.19901820591625,1,0.831580787475051,0.523110118169842,1,0
3.05,1,0.763860968362819,0.41665766113376,1,0.290151292098724,0.0422483738887755,1,0.290107071080714,0.236995289963686,0,0.0414377145289596,0.180220158726486,1,0.842703340905427,0.543481793405783,1,0
3.1,1,0.779455798412228,0.439587273960957,1,0.337030327232235,0.058620101389448,1,0.314348511918372,0.238808952344703,0,0.0363036089192854,0.163025105056698,1,0.853091351091259,0.563242648475044,1,0
3.15,1,0.794020732122248,0.462032491260334,1,0.380813429513313,0.0770065584098474,1,0.337762155450343,0.241388479044731,0,0.0318056156220522,0.147324394928712,1,0.862793327916675,0.582384512596374,1,0
3.2,1,0.807623784756048,0.483957287676872,1,0.42170505707979,0.0970702322965966,1,0.360376269318963,0.244679449668217,0,0.0278649207396112,0.133011694056985,1,0.871854577630242,0.600902958229686,1,0
3.25,1,0.820328479788792,0.505332508789799,1,0.459896165473635,0.118509402625676,1,0.382218155882436,0.248630267452722,0,0.0244124753644595,0.119984077913952,1,0.880317414415889,0.618796842298187,1,0
3.3,1,0.832194145549282,0.52613512070838,1,0.495565099364301,0.141054885728663,1,0.403314185177381,0.253192029884878,0,0.0213877857033752,0.108142819139123,1,0.888221357991492,0.636067891680933,1,0
3.35,1,0.843276192271129,0.546347528815545,1,0.528878425381877,0.164467053103524,1,0.423689826755771,0.258318404860165,0,0.0187378531043785,0.0973939274858762,1,0.895603318157886,0.652720329129412,1,0
3.4,1,0.853626370847211,0.565956959798995,1,0.559991709949199,0.188533101733233,1,0.443369680434703,0.263965512158761,0,0.0164162454136549,0.0876484915392393,1,0.90249776716008,0.668760536076695,1,0
3.45,1,0.863293014495772,0.584954901581882,1,0.589050245745247,0.213064556043668,1,0.462377505996131,0.270091810018793,0,0.0143822833907463,0.078822863036792,1,0.908936900665601,0.684196749097867,1,0
3.5,1,0.872321264466666,0.603336596200815,1,0.616189730192256,0.237894982810704,1,0.4807362518724,0.276657986597082,0,0.0126003279263649,0.0708387175497091,1,0.914950788111682,0.699038787047621,1,0
3.55,1,0.88075328084177,0.621100581080483,1,0.64153689913494,0.262877901784741,1,0.498468082852234,0.283626856115834,0,0.0110391555734526,0.063623019332216,1,0.920567513123378,0.713297806146993,1,0
3.6,1,0.888628439413943,0.638248274524356,1,0.665210118670979,0.28788487614817,1,0.515594406840618,0.290963259501834,0,0.00967141144953087,0.0571079131548823,1,0.925813304658367,0.72698608051772,1,0
3.65,1,0.895983515563935,0.654783601582,1,0.687319937896501,0.312803768165717,1,0.532135900704884,0.298633969332397,0,0.00847312992409099,0.0512305617546607,1,0.93071265949081,0.740116805871219,1,0
3.7,1,0.902852855993897,0.670712656767843,1,0.707969605147761,0.337537146536984,1,0.548112535238197,0.306607598909835,0,0.00742331469250114,0.0459329440382402,1,0.935288456606285,0.752703924251065,1,0
3.75,1,0.909268539119457,0.686043400395726,1,0.72725555014977,0.362000833021884,1,0.563543599270599,0.314854515293295,0,0.0065035708784809,0.0411616262593058,1,0.939562064041969,0.76476196790437,1,0
3.8,1,0.915260524869363,0.700785385560216,1,0.745267834323396,0.386122576889734,1,0.578447722956696,0.323346756123732,0,0.00569778271883741,0.0368675159645226,1,0.943553438671008,0.776305920519855,1,0
3.85,1,0.92085679459223,0.714949513041218,1,0.762090571353792,0.409840846647588,1,0.592842900268129,0.332057950084383,0,0.00499183118285094,0.0330056064908019,1,0.947281219397032,0.787351094219729,1,0
3.9,1,0.926083481723716,0.72854781163447,1,0.777802319984107,0.433103729338597,1,0.606746510717959,0.340963240845421,0,0.00437334657843313,0.0295347181324155,1,0.950762814194027,0.797913020829781,1,0
3.95,1,0.930964993824324,0.741593241618578,1,0.792476450868767,0.455867928472126,1,0.620175340343218,0.350039214347598,0,0.00383149181021971,0.0264172407253998,1,0.954014481398012,0.808007356078284,1,0
4,1,0.93552412655772,0.754099519260746,1,0.806181489199423,0.47809785235876,1,0.633145601970941,0.359263829285525,0,0.00335677249184316,0.0236188812714034,1,0.957051405630147,0.817649795490259,1,0
4.05,1,0.939782170141826,0.766080960439534,1,0.818981434703598,0.4997647852798,1,0.645672954792154,0.368616350656845,0,0.00294087058517001,0.0211084193038094,1,0.959887768705811,0.826856000850183,1,0
4.1,1,0.94375900876978,0.77755234162503,1,0.830936060510324,0.520846134526436,1,0.657772523267452,0.378077286248995,0,0.0025764986515274,0.0188574719518455,1,0.96253681586078,0.835641536204069,1,0
4.15,1,0.947473213465059,0.788528776605857,1,0.842101192278442,0.541324746902481,1,0.669458915386983,0.387628325940403,0,0.00225727216110694,0.016840270054919,1,0.965010917603767,0.844021812461656,1,0
4.2,1,0.95094212880436,0.799025607489481,1,0.852528968891016,0.56118828879974,1,0.680746240306897,0.397252283697966,0,0.00197759762314946,0.0150334461954572,1,0.967321627484175,0.852012039741914,1,0
4.25,1,0.954181953913228,0.809058308628203,1,0.862268085933256,0.58042868443024,1,0.691648125383541,0.406933042157458,0,0.00173257457672651,0.0134158351337444,0,0.969479736044807,0.859627186680735,1,0
4.3,1,0.957207818112659,0.818642402238987,1,0.87136402309095,0.599041607237596,1,0.702177732625968,0.416655499678089,0,0.00151790972479956,0.011968286825472,0,0.905454438680185,0.866881945989053,1,0
4.35,1,0.960033851569939,0.827793384591602,1,0.879859256531301,0.61702601991361,1,0.712347774586628,0.426405519766863,0,0.00132984170701286,0.0106734919675588,0,0.845657428457852,0.869429307447807,1,0
