t,B8,AI4,PI4,B6B9B3,AI3,TI3,B6B9B3_B38,AI3_2,PI3,B31B32,AI2,TI2,B7,A_hinge,T_hinge,B64,B44B48
0,0,0.05,0,0,0.05,0.05,1,0.05,0,1,0.05,0.05,0,0.05,0,0,0
0.02,0,0.0486246861865762,0.00137531381342383,0,0.0486246861865762,0.05,0,0.0632476783782201,0.000697246230432634,0,0.0688128219472868,0.05,0,0.0486246861865762,0.00137531381342383,0,0
0.04,1,0.0472872021348602,0.00267496810343189,0,0.0472872021348602,0.0499621702382921,0,0.0623656942715635,0.00156950729097217,1,0.0651285924004475,0.0510072360428804,0,0.0472872021348602,0.00267496810343189,0,1
0.06,0,0.0734927835574521,0.0039020845376543,0,0.0459865072889755,0.0498885918266298,0,0.0614960093667802,0.00241730553491007,1,0.115181486104065,0.0517632916276063,0,0.0459865072889755,0.0039020845376543,0,1
0.08,0,0.0714712707491815,0.00581626553060927,0,0.0447215897148626,0.0497812600113141,0,0.0606384521524275,0.00324115360582242,1,0.162554554381704,0.0551586935205319,0,0.0447215897148626,0.0050596702964515,0,1
0.1,0,0.0695053622306954,0.00762219024255959,0,0.0434914653130001,0.0496420873223125,0,0.0597928535087765,0.00404155460679516,1,0.207391274738506,0.0609086539580805,0,0.0434914653130001,0.00615062200931238,0,1
0.12,0,0.0675935285350373,0.00932436586763491,0,0.0422951770527799,0.0494729066141014,0,0.0589590466744604,0.00481900226681775,1,0.249827442912629,0.0687513144435218,0,0.0422951770527799,0.00717772956132151,0,1
0.14,0,0.0657342822651914,0.0109271335538973,0,0.041131794227942,0.0492754740018073,0,0.058136867213587,0.00557398110439143,1,0.289991584156051,0.0784461068361982,0,0.041131794227942,0.00814367977386529,0,1
0.16,0,0.0639261769368951,0.0124346741278376,0,0.0400004117324901,0.0490514716961053,0,0.0573261529833103,0.00630696658839736,1,0.328005342495458,0.0897722242077406,0,0.0400004117324901,0.00905105996361525,0,1
0.18,0,0.0621678058532813,0.0138510136295826,0,0.0389001493565234,0.0488025107402236,0,0.0565267441018539,0.00701842529626922,1,0.363983849152153,0.102527194409422,0,0.0389001493565234,0.00990236138370019,0,1
0.2,0,0.0604578010104759,0.0151800286648943,0,0.0378301511014378,0.0485301336522932,0,0.055738482916981,0.00770881506951424,1,0.398036071236805,0.116525549735684,0,0.0378301511014378,0.0106999825508554,0,1
0.22,0,0.0587948320332972,0.016425451579853,0,0.0367895845139635,0.0482358169761815,0,0.054961213974903,0.0083785851666258,1,0.430265141775137,0.131597586482776,0,0.0367895845139635,0.011446232462218,0,1
0.24,0,0.0571776051402306,0.0175908754639296,0,0.0357776400385199,0.0479209737438425,0,0.054194783989623,0.00902817641343007,1,0.460768672064075,0.147588208589994,0,0.0357776400385199,0.0121433337053226,0,1
0.26,0,0.0556048621368736,0.0186797589869715,0,0.0347935303873863,0.0475869558521236,0,0.0534390418127054,0.00965802135090869,1,0.489639047304386,0.164355849915733,0,0.0347935303873863,0.0127934254647373,0,1
0.28,0,0.0540753794370662,0.0196954310754547,0,0.0338364899281952,0.0472350563568704,0,0.0526938384034686,0.0102685443805383,1,0.516963706405195,0.181771470042861,0,0.0338364899281952,0.0133985664286752,0,1
0.3,0,0.0525879671109475,0.0206410954331851,0,0.0329057740882747,0.0468665116870817,0,0.0519590267995917,0.010860161907188,1,0.542825406807788,0.199717618829249,0,0.0329057740882747,0.013960737598807,0,1
0.32,0,0.0511414679591962,0.0215198349114672,0,0.0320006587753746,0.0464825037817772,0,0.0512344620881325,0.0114332824796138,1,0.567302475130799,0.218087565220774,0,0.0320006587753746,0.0144818450064026,0,1
0.34,0,0.0497347566127352,0.0223346157336015,0,0.0311204398143258,0.0460841621521538,0,0.0505200013769486,0.01198830692859,1,0.590469044395878,0.236784486127068,0,0.0311204398143258,0.014963722337828,0,1
0.36,0,0.0483667386571998,0.0230882915784182,0,0.0302644323991965,0.0456725658715248,0,0.049815503766518,0.012525628502716,1,0.612395278552324,0.255720711425791,0,0.0302644323991965,0.0154081334723283,0,1
0.38,0,0.0470363497814897,0.0237836075274052,0,0.0294319705605156,0.0452487454954534,0,0.0491208303221519,0.0130456330019358,1,0.633147584980708,0.274817021410293,0,0.0294319705605156,0.0158167749349378,0,1
0.4,0,0.0457425549497393,0.0244232038798457,0,0.0286224066471523,0.0448136849144166,0,0.048435844046595,0.0135486989088085,1,0.652788815619073,0.294001993229251,0,0.0286224066471523,0.0161912782672643,0,1
0.42,0,0.0444843475960658,0.0250096198402389,0,0.0278351108224471,0.0443683231412575,0,0.0477604098530088,0.014035197517566,1,0.671378457320865,0.313211393086123,0,0.0278351108224471,0.0165332123188104,0,1
0.44,0,0.0432607488414655,0.025545297082144,0,0.0270694705742012,0.0439135560356109,0,0.0470943945383302,0.0145054930609946,1,0.688972812021125,0.332387611171891,0,0.0270694705742012,0.0168440854614097,0,1
